episodeID,episode_reward,number_of_steps
0,11.16625665128231,20
1,19.467513501644135,21
2,4.977777935564518,11
3,8.718202603980899,23
4,20.550720393657684,24
5,43.582416504621506,36
6,5.919011317193508,11
7,9.163818538188934,10
8,14.458171963691711,17
9,8.881983935832977,13
10,6.59199932217598,9
11,5.308111559599638,10
12,10.651932630687952,15
13,12.345170676708221,16
14,8.563309197197668,15
15,8.589665353298187,10
16,10.378487266600132,22
17,9.822567164897919,13
18,27.93314751982689,30
19,14.518951714038849,15
20,7.148831009864807,8
21,8.029675483703613,10
22,8.85991096496582,13
23,5.995495550334454,11
24,19.069146156311035,18
25,7.885778307914734,8
26,7.595000267028809,9
27,57.0093839764595,41
28,9.03394266963005,16
29,11.98984083533287,29
30,63.95274567604065,43
31,8.647193886339664,14
32,15.453076243400574,16
33,15.27944016456604,14
34,16.814886152744293,18
35,13.368694722652435,13
36,13.926798045635223,14
37,10.193978488445282,30
38,10.124367475509644,11
39,27.99203723669052,26
40,12.468635275959969,22
41,10.628427028656006,11
42,5.9878034591674805,8
43,17.121351212263107,19
44,11.506412625312805,13
45,49.73280334472656,35
46,5.60586804151535,10
47,9.575526349246502,16
48,3.528419583104551,15
49,6.980958461761475,9
50,10.4527469240129,17
51,18.44758540391922,17
52,9.301786243915558,14
53,15.19998013973236,16
54,35.687107145786285,40
55,10.516900956630707,12
56,9.668147914111614,16
57,7.073124796152115,10
58,10.945911273360252,14
59,15.621476352214813,17
60,11.871782541275024,12
61,14.273637294769287,23
62,12.240726053714752,25
63,9.011847019195557,11
64,9.137235820293427,10
65,6.522754967212677,8
66,15.628092586994171,16
67,51.14769381284714,39
68,4.877750396728516,6
69,34.85055482387543,36
70,13.153292953968048,19
71,26.27220743894577,23
72,9.651075720787048,13
73,11.506526112556458,13
74,7.09615421295166,9
75,13.983947038650513,14
76,11.60139736533165,14
77,14.127515941858292,16
78,13.87019968032837,14
79,8.45615070592612,17
80,47.195766627788544,39
81,15.035457253456116,19
82,23.2081698179245,20
83,29.350230187177658,30
84,28.45753538608551,26
85,13.226023495197296,15
86,9.152931272983551,11
87,71.82328468561172,55
88,9.895906583871692,24
89,5.89546126127243,7
90,55.624133080244064,43
91,6.205739855766296,9
92,17.59430366754532,16
93,10.947572708129883,13
94,8.040395021438599,9
95,9.710357382893562,13
96,5.732458829879761,7
97,10.594903729856014,17
98,9.739980936050415,12
99,11.848998367786407,13
100,6.968978583812714,8
101,11.250489190220833,15
102,10.074895963072777,14
103,33.67888855934143,29
104,17.25109487771988,20
105,6.680049479007721,9
106,10.005862712860107,16
107,12.502168794162571,35
108,20.53079840540886,37
109,6.590745389461517,8
110,131.46741896867752,70
111,19.20063391327858,32
112,20.45059984922409,19
113,71.53947192430496,43
114,48.11470091342926,30
115,15.589935183525085,18
116,13.089969992637634,12
117,53.21350276470184,61
118,7.4429269433021545,9
119,12.820697605609894,14
120,8.399545907974243,11
121,9.347055345773697,14
122,61.632017850875854,37
123,71.03659677505493,48
124,7.987787675112486,15
125,8.898426473140717,12
126,122.21726328134537,67
127,64.23590219020844,43
128,12.602355480194092,24
129,13.450519680976868,17
130,153.48586702346802,88
131,6.052263796329498,9
132,190.18510362505913,127
133,8.462638974189758,10
134,14.567150555551052,26
135,59.1849120259285,38
136,114.28284877538681,74
137,28.649936497211456,25
138,30.596384525299072,22
139,6.814502775669098,8
140,63.094433546066284,39
141,27.627776205539703,24
142,9.20970731973648,12
143,7.971343060955405,19
144,29.714999794960022,24
145,8.27551805973053,13
146,9.684880410321057,16
147,38.52280202507973,41
148,8.613267671316862,20
149,18.299843311309814,19
150,21.43602579832077,20
151,66.89631950855255,54
152,7.432668633759022,20
153,21.883142113685608,20
154,39.294772922992706,33
155,6.310773763805628,12
156,65.36871290206909,43
157,112.39247649908066,68
158,14.423288762569427,13
159,101.42899423837662,63
160,10.813661523163319,24
161,26.62496030330658,24
162,27.265281558036804,22
163,31.6884765625,29
164,40.704243540763855,42
165,25.23430633544922,20
166,9.027183592319489,10
167,24.221229672431946,24
168,114.09312933683395,76
169,54.18638926744461,34
170,5.948754109442234,10
171,114.91178345680237,77
172,76.99583393335342,47
173,79.67614328861237,51
174,71.58093822002411,48
175,40.453980445861816,25
176,66.02284323703498,77
177,50.381500124931335,32
178,79.62482339143753,63
179,104.16642671823502,58
180,39.3084522485733,31
181,218.02617764472961,97
182,92.66717040538788,55
183,30.34338015317917,24
184,69.48018795251846,44
185,182.0716158747673,87
186,59.59659743309021,38
187,21.619431376457214,21
188,167.82736575603485,116
189,124.85438930988312,96
190,101.37235575914383,58
191,51.3828696757555,56
192,34.3556609749794,26
193,71.29149919748306,44
194,31.402915120124817,28
195,194.2979467511177,118
196,214.34425508975983,113
197,26.127074420452118,21
198,19.720291912555695,22
199,58.213184237480164,37
200,166.06751322746277,93
201,32.62761890888214,25
202,158.24778854846954,82
203,71.37575834989548,43
204,8.861552357673645,10
205,45.51398992538452,35
206,157.32596963644028,77
207,103.33154571056366,60
208,49.39139437675476,30
209,82.37651020288467,50
210,85.07443326711655,51
211,117.03368455171585,67
212,108.99584919214249,62
213,75.42646098136902,50
214,141.90577948093414,74
215,64.35878944396973,40
216,101.97593796253204,57
217,75.54853510856628,46
218,70.5190737247467,44
219,84.30327218770981,53
220,126.11989003419876,93
221,77.92345309257507,49
222,231.86120057106018,111
223,86.53509736061096,52
