episodeID,action_measure
0,3.8080668449401855
1,3.5547717809677124
2,4.344799160957336
3,3.452951192855835
4,2.7615748047828674
5,3.157390534877777
6,3.5435982644557953
7,3.412227511405945
8,4.627330303192139
9,3.8070782274007797
10,2.8193695843219757
11,2.3959529425483197
12,3.6070846915245056
13,3.3400928750634193
14,4.005185028538108
15,2.6151973381638527
16,3.0300891995429993
17,4.243610620498657
18,3.53680419921875
19,2.3338716626167297
20,4.12579619884491
21,4.466355800628662
22,4.223382234573364
23,2.5465674996376038
24,3.6229814291000366
25,3.5855653285980225
26,2.466593861579895
27,4.015584446489811
28,3.7055410742759705
29,4.422177627682686
30,3.4854061603546143
31,2.9788453578948975
32,4.027369201183319
33,4.421980440616608
34,3.6580730080604553
35,2.6276941299438477
36,3.0725677013397217
37,3.6289334297180176
38,2.399183988571167
39,4.405689537525177
40,3.6767214834690094
41,2.730790078639984
42,4.161208391189575
43,3.869354158639908
44,3.2912606596946716
45,4.276824206113815
46,2.869137704372406
47,2.8661604523658752
48,2.9566142559051514
49,2.1807608418166637
50,3.051379442214966
51,3.4459790773689747
52,4.441769242286682
53,3.339809149503708
54,3.9099719524383545
55,2.7331135272979736
56,3.5937162339687347
57,2.720339370891452
58,4.040779009461403
59,3.070237874984741
60,2.699190139770508
61,4.955689251422882
62,2.9916268587112427
63,3.082588851451874
64,3.2763478755950928
65,2.2511239051818848
66,3.650912791490555
67,2.798102855682373
68,2.819803833961487
69,4.808019399642944
70,4.9368787705898285
71,2.787383258342743
72,3.3163730315864086
73,2.7633343040943146
74,2.4337227940559387
75,2.55146461725235
76,2.4146080017089844
77,3.7672704458236694
78,4.699154049158096
79,3.4109031558036804
80,5.414638519287109
81,3.250382661819458
82,3.557015061378479
83,3.67179012298584
84,4.481452941894531
85,4.383411228656769
86,2.463649332523346
87,3.6027298867702484
88,3.3391366600990295
89,3.023851454257965
90,3.6423892974853516
91,2.186998963356018
92,3.968315452337265
93,3.1833451567217708
94,3.740982413291931
95,2.680720090866089
96,2.218908667564392
97,3.26501601934433
98,3.3829126358032227
99,2.61085207387805
100,3.0879942355677485
101,3.7552516907453537
102,3.4961459636688232
103,4.305983871221542
104,3.022961989045143
105,3.315027892589569
106,3.7572017312049866
107,3.6343498528003693
108,3.03019717335701
109,2.8924956768751144
110,5.205486088991165
111,3.70432548224926
112,2.9196974486112595
113,4.007953524589539
114,3.4933027029037476
115,4.025233447551727
116,3.234195739030838
117,4.637997269630432
118,2.5880931988358498
119,2.951595425605774
120,3.072717010974884
121,2.877754509449005
122,5.721491098403931
123,3.5293009281158447
124,2.9870489463210106
125,2.457131803035736
126,3.637887954711914
127,4.4592991173267365
128,3.412053521722555
129,3.2034993171691895
130,3.818545341491699
131,2.566048800945282
132,4.06947535276413
133,3.0853161811828613
134,3.0740668177604675
135,4.398827373981476
136,5.3418950736522675
137,2.82927668094635
138,3.288094237446785
139,3.3668161928653717
140,3.4843063950538635
141,3.4154437333345413
142,4.63004145026207
143,3.226317048072815
144,2.769883930683136
145,3.651738151907921
146,3.4782609343528748
147,3.092796616256237
148,3.1232945322990417
149,4.164350770413876
150,2.9711381793022156
151,4.378080785274506
152,3.7782665491104126
153,2.933630883693695
154,3.295123666524887
155,3.2542474418878555
156,3.9496986865997314
157,3.8823187202215195
158,3.23592322319746
159,3.4451054334640503
160,4.570213578641415
161,3.6453568935394287
162,3.9024731516838074
163,3.0225585475564003
164,3.1218855381011963
165,4.155853986740112
166,3.2374084442853928
167,2.1647855043411255
168,4.264959946274757
169,3.8183984756469727
170,3.4882985949516296
171,4.732877366244793
172,4.266638550907373
173,4.917680233716965
174,3.089420735836029
175,3.6525794863700867
176,3.7614020705223083
177,3.9297715723514557
178,3.9831085205078125
179,3.162805587053299
180,3.85414320230484
181,5.5821772813797
182,4.165274739265442
183,3.622036039829254
184,4.572183817625046
185,4.8081982135772705
186,3.2014133408665657
187,4.096170961856842
188,4.064408004283905
189,3.752099394798279
190,4.850062519311905
191,4.123595118522644
192,2.8388532400131226
193,3.482092797756195
194,3.212365508079529
195,3.8718013763427734
196,4.037452414631844
197,4.81781579554081
198,3.5741793513298035
199,4.462602019309998
200,4.074109852313995
201,3.879218429327011
202,3.4549251794815063
203,3.92315337061882
204,3.4968947768211365
205,4.451770544052124
206,4.008243083953857
207,5.258396148681641
208,3.6387418508529663
209,3.8073155283927917
210,3.7728813886642456
211,4.300156354904175
212,3.8149161338806152
213,4.04521918296814
214,4.016703486442566
215,4.244800508022308
216,3.289672866463661
217,3.4060133695602417
218,2.5665788650512695
219,3.030499815940857
220,3.2731841057538986
221,3.3357244729995728
222,4.1288124322891235
223,3.7703028172254562
