Episode,Return
1,3.6369018456429516
2,3.357810778436439
3,4.121932596824268
4,3.022369500297529
5,3.0848929205249167
6,4.760588947181652
7,3.0696676878138116
8,3.1137391212992815
9,4.136903046105339
10,3.491144641884312
11,3.5780052805109603
12,3.0339672673035585
13,3.0688772451676534
14,4.589319963391906
15,3.0843785384774565
16,3.1464698618767404
17,2.918008751935631
18,2.6211101917017254
19,3.2542393514442596
20,2.3472391868464197
21,3.1374859588004043
22,4.96095178455483
23,3.2660791852425484
24,2.3571119045427924
25,3.063276314226165
26,3.6482203519821614
27,4.756406119398695
28,4.697394357532233
29,2.4639231315859447
30,3.0232087710971127
31,3.046570896369324
32,2.9278693230586645
33,3.1097444457970322
34,4.012204757938218
35,2.893517413624878
36,3.1268675277146314
37,2.8475476955171635
38,2.7657237730874926
39,3.125993162851703
40,2.4105049812922252
41,2.6184453485902397
42,2.96748961865906
43,2.3565507298758566
44,4.185272986568208
45,3.028264547325009
46,3.334924615675154
47,3.182491211887451
48,3.8027246784988735
49,3.1017703377845343
50,3.2798242230438728
51,3.8876284600994104
52,3.013711590741027
53,3.4209102033837984
54,2.955171967734297
55,3.3150602332168098
56,2.938569061295272
57,2.9424771175475692
58,3.8719413488753522
59,3.1371692844422747
60,2.9416108269877257
61,3.9990896360112975
62,3.1373899542669568
63,2.958792427193033
64,4.182114663248836
65,2.97788128614973
66,3.1526087914008607
67,2.6646890934157006
68,3.083108668879168
69,3.0656003164737755
70,2.8826120740674988
71,2.9499412809128343
72,3.071877815586654
73,4.843661786786698
74,2.9625311817599167
75,3.048672788908073
76,4.750353433823978
77,3.0003511844704223
78,2.946438884713497
79,4.296711667042019
80,2.578849614472928
81,3.151222864011378
82,3.333950562642752
83,4.302153317812873
84,4.818010120425625
85,3.9865424886986247
86,3.1764109717444713
87,4.8038008487570565
88,3.520247454904614
89,3.06136945457237
90,3.858145350318122
91,3.094362302651255
92,3.1893567917735375
93,2.974683274411071
94,4.1611547663174004
95,3.5358067744462867
96,4.447151364457277
97,2.9430549529470635
98,3.044266414435301
99,2.873615526686883
100,4.613302646884397
1,3.974022373647449
2,2.337897881595969
3,4.418857007283544
4,4.507465438282383
5,2.3973145289959543
6,2.6546540303253714
7,3.1533789368287293
8,3.11763902450665
9,3.1250653559035424
10,2.9095648282133735
11,3.134083913764998
12,3.214107047879378
13,2.5491276538512437
14,3.152714645288765
15,4.3966418003105225
16,3.1431575742078834
17,2.892146080174148
18,2.8390784447498105
19,4.665417861156437
20,5.004495867374581
21,3.116679523007519
22,2.6155900387987345
23,2.872242196935968
24,3.0478907320147313
25,2.918923232221844
26,3.1873656421166072
27,2.372100891599809
28,4.90784355648026
29,3.146676807082371
30,3.513206424187816
31,3.476759338588108
32,3.729517912824276
33,3.1379412328931506
34,2.7451689849047716
35,3.567041677410999
36,3.0946846536444843
37,2.963641260989311
38,5.160552162667609
39,3.585280484056619
40,2.9770713620934073
41,2.942098068838047
42,2.692900699481839
43,3.111692402134293
44,2.35006420177267
45,2.367147520977224
46,3.6225297142532322
47,4.362516649575488
48,3.13096543278375
49,2.897107684124119
50,3.0099364903581436
51,3.1480863564174797
52,2.3804049668959553
53,3.7227116257471815
54,3.1054552487072535
55,2.9451600610521322
56,3.197480621677411
57,4.707401220612945
58,3.079623742129071
59,3.115115828203561
60,4.549212384406132
61,2.3545175311760387
62,3.2722184687924107
63,3.205048964398199
64,2.434617270961852
65,2.7668659802673257
66,4.024792717313696
67,2.927302764792837
68,2.9685226851035096
69,3.073844327262785
70,4.388600933841215
71,2.93516015777318
72,2.9424447449021787
73,3.6094058519757493
74,3.0897971947529426
75,2.8455767505685263
76,2.9343361647743325
77,4.560349170471669
78,3.568092904005761
79,4.320929338531135
80,3.0986365521904387
81,4.859866842670047
82,3.158819791688182
83,2.6591612253736434
84,2.374715995598436
85,2.3917055266156564
86,4.773544893066624
87,3.1253326894511964
88,3.086449646886045
89,3.083574742307377
90,4.069942809909055
91,3.1296377433610347
92,2.611255648919215
93,2.4436947295239344
94,3.9301456623015634
95,3.1376254490355624
96,3.105601483096807
97,3.8136142021639508
98,3.125854750318239
99,2.387755613103134
100,2.673859878689006
1,3.12730372811566
2,2.943844755094815
3,3.1353952657459114
4,4.385534708024854
5,2.8596285213319756
6,4.040899607841112
7,4.723727926408652
8,3.921499431056068
9,3.0726494797989243
10,2.5161836116899945
11,3.122030903283331
12,3.144896098546991
13,3.4145676322804333
14,3.123932700875484
15,2.387688135584909
16,2.4056752796574936
17,3.0950135208012406
18,3.570477813187094
19,3.7144588380328427
20,2.4523721032625927
21,3.0245030159562223
22,2.9388830142474434
23,3.4789127263709094
24,2.6072970126139574
25,2.912367300475925
26,2.380345923492109
27,2.5525475844174115
28,4.91827827622254
29,3.084218360302127
30,3.104145287427554
31,3.222620742013799
32,3.079148685851454
33,3.07689903234584
34,3.055637428670744
35,2.9567419911166466
36,3.121898232138304
37,2.7007691606109305
38,3.0764206466888178
39,2.9277844834110462
