EpisodeID,ActionMeasure
1,2.987219601869583
2,2.2985688745975494
3,2.0210324078798294
4,1.8622306883335114
5,2.4836608916521072
6,3.1606671046465635
7,3.2960218749940395
8,2.4065011739730835
9,1.954643502831459
10,2.609379753470421
11,3.0106631442904472
12,2.945448398590088
13,1.9256928265094757
14,3.014906667172909
15,4.756070263683796
16,3.0004246532917023
17,3.660853512585163
18,1.9791636317968369
19,2.802001953125
20,3.5894733667373657
21,2.6536530926823616
22,2.24163855612278
23,3.698216922581196
24,2.373051956295967
25,1.6131164953112602
26,1.592603176832199
27,2.9154312312602997
28,1.7399580925703049
29,2.383190765976906
30,2.328800082206726
31,2.6296075135469437
32,2.6235859394073486
33,2.248309910297394
34,2.7094347942620516
35,2.0272918716073036
36,4.121855586767197
37,2.9312027394771576
38,3.804988857358694
39,2.513383597135544
40,2.5606890618801117
41,2.324441224336624
42,3.3699527606368065
43,1.7065428048372269
44,3.5404867082834244
45,1.4875557720661163
46,3.335196226835251
47,3.3198360353708267
48,2.148372784256935
49,3.0529240667819977
50,3.1880758106708527
51,2.10476690903306
52,3.1830457895994186
53,2.212820127606392
54,2.7071932181715965
55,3.7230036556720734
56,3.2163989916443825
57,3.691344201564789
58,2.068877436220646
59,2.800184115767479
60,2.2774384915828705
61,2.792146384716034
62,2.3072034418582916
63,1.9354075118899345
64,1.9245960842818022
65,2.558044672012329
66,2.480197958648205
67,1.7268604456912726
68,1.725714534521103
69,3.529209177941084
70,1.1246813386678696
71,2.264975566416979
72,3.952029101550579
73,2.6896866224706173
74,1.8644326776266098
75,2.678573802113533
76,1.4879460223019123
77,2.6704866886138916
78,3.5309609174728394
79,3.183398149907589
80,1.6691080331802368
81,1.7116329967975616
82,2.9438484758138657
83,2.2987699769437313
84,1.8657861053943634
85,1.8769898116588593
86,2.873557597398758
87,2.984473377466202
88,2.6045029424130917
89,3.509835384786129
90,3.159090291708708
91,1.733801580965519
92,2.273167446255684
93,3.021474353969097
94,3.5558388084173203
95,1.6480563431978226
96,1.611351117491722
97,3.733530454337597
98,2.755549430847168
99,3.337696671485901
100,2.0102835297584534
101,3.20408795773983
102,2.9472995456308126
103,1.3706141263246536
104,2.4169259518384933
105,2.435718946158886
106,4.016823120415211
107,1.6074333190917969
108,2.3146448731422424
109,3.1379297971725464
110,2.075718954205513
111,2.8123595267534256
112,2.2342107594013214
113,3.237790882587433
114,2.169309414923191
115,2.811320200562477
