EpisodeID,Reward,Timestep
1,-0.1684088259935379,20
2,0.19399258494377136,40
3,0.736629843711853,55
4,0.3064509928226471,66
5,0.7955595850944519,77
6,0.060863200575113297,101
7,1.727337121963501,118
8,1.5265756845474243,149
9,0.2119404822587967,164
10,0.9287780523300171,200
11,0.9946969151496887,215
12,0.390234112739563,227
13,-0.030399998649954796,246
14,-0.8457327485084534,270
15,0.455839604139328,279
16,0.44848665595054626,289
17,0.731816828250885,306
18,0.8800304532051086,336
19,0.5471713542938232,353
20,0.13153113424777985,364
21,-0.2293185293674469,382
22,1.2543654441833496,397
23,0.13930876553058624,405
24,0.7486361861228943,413
25,0.07003343105316162,427
26,0.9100728034973145,445
27,-0.36352065205574036,457
28,-0.7033700942993164,534
29,0.8532907962799072,550
30,-0.030528562143445015,561
31,0.32512718439102173,604
32,0.8711076378822327,619
33,-0.3462153971195221,640
34,0.408241331577301,658
35,1.8835300207138062,696
36,0.46565043926239014,712
37,-0.04892505332827568,730
38,0.6249363422393799,747
39,0.01834522932767868,766
40,-0.28978854417800903,776
41,-0.08936907351016998,790
42,1.0497512817382812,814
43,0.8920434713363647,831
44,3.461024522781372,913
45,-0.8731379508972168,936
46,0.3361736834049225,945
47,-0.43805548548698425,960
48,0.3168858289718628,971
49,0.08284337818622589,980
50,-0.0034677779767662287,989
51,-0.46591806411743164,1017
52,0.2033092975616455,1028
53,-0.4315808117389679,1059
54,0.5330464243888855,1105
55,0.1010313406586647,1121
56,0.4351925551891327,1130
57,1.1717098951339722,1144
58,-0.8539367318153381,1166
59,0.6417802572250366,1181
60,-0.3289842903614044,1196
61,-0.09951507300138474,1224
62,-0.5204743146896362,1235
63,1.207032322883606,1252
64,-0.36642494797706604,1268
65,-0.03960726037621498,1284
66,0.07079395651817322,1294
67,0.606383204460144,1304
68,0.7880616188049316,1315
69,0.8762136697769165,1334
70,-0.5424059629440308,1356
71,0.35123467445373535,1365
72,-0.23655608296394348,1385
73,0.39159053564071655,1400
74,1.0372122526168823,1413
75,0.46047911047935486,1426
76,1.6314153671264648,1451
77,0.7506852149963379,1465
78,0.6718253493309021,1521
79,1.3165597915649414,1543
80,-0.12977558374404907,1558
81,0.1611751765012741,1585
82,-0.3942521810531616,1606
83,-1.1404446363449097,1622
84,0.487234890460968,1633
85,0.47984427213668823,1644
86,0.7093029618263245,1674
87,0.25515249371528625,1688
88,0.13631004095077515,1711
89,1.1026952266693115,1727
90,0.38620561361312866,1736
91,0.7630196809768677,1753
92,0.3352435231208801,1765
93,-0.2293088138103485,1781
94,0.45078930258750916,1790
95,0.5394446849822998,1802
96,0.20504215359687805,1832
97,1.5101522207260132,1921
98,0.5380651354789734,1936
99,-0.2944551706314087,1947
100,0.08276230096817017,1963
101,1.000675082206726,1975
102,0.6795709133148193,1987
103,0.30063489079475403,1996
104,0.40422141551971436,2014
105,0.7025655508041382,2025
106,0.09252173453569412,2034
107,0.443062961101532,2047
