EpisodeID,Reward,Timestep
93,0.47925394773483276,1742
93,0.9180400967597961,1743
93,0.7690255641937256,1744
93,0.7568114399909973,1745
93,0.7898375988006592,1746
93,0.7305746078491211,1747
93,0.6288132071495056,1748
93,0.548420250415802,1749
93,0.5544871687889099,1750
93,0.5165726542472839,1751
93,0.3977593779563904,1752
93,0.3063725233078003,1753
93,0.21992263197898865,1754
93,0.16425493359565735,1755
93,0.27584192156791687,1756
93,0.3813842236995697,1757
94,0.3895002007484436,1758
94,0.9687167406082153,1759
94,0.8235614895820618,1760
94,0.715510904788971,1761
94,0.6743524074554443,1762
94,0.5637315511703491,1763
94,0.4679895043373108,1764
94,0.5424368381500244,1765
95,0.7228665351867676,1766
95,0.9857117533683777,1767
95,0.9143493175506592,1768
95,0.9486746191978455,1769
95,1.0372848510742188,1770
95,1.0515116453170776,1771
95,1.0080558061599731,1772
95,0.8400521278381348,1773
95,0.6809499263763428,1774
95,0.5932396054267883,1775
95,0.4771750569343567,1776
95,0.40655314922332764,1777
95,0.35214120149612427,1778
95,0.4070309102535248,1779
95,0.5900024175643921,1780
95,0.5170608758926392,1781
95,0.4684583842754364,1782
95,0.40183138847351074,1783
95,0.24249327182769775,1784
95,0.19189555943012238,1785
95,0.2905671000480652,1786
95,0.46254074573516846,1787
95,0.5264524817466736,1788
95,0.49039968848228455,1789
95,0.2686658501625061,1790
95,0.057465244084596634,1791
95,0.002346559427678585,1792
95,0.059191372245550156,1793
95,0.1133008599281311,1794
96,0.23871038854122162,1795
96,0.9988637566566467,1796
96,0.9785332083702087,1797
96,0.953296959400177,1798
96,0.9459982514381409,1799
96,0.950307309627533,1800
96,0.9320337176322937,1801
96,0.9937735199928284,1802
96,1.1558237075805664,1803
96,1.1313295364379883,1804
96,1.0126386880874634,1805
96,0.8665007948875427,1806
96,0.7418040037155151,1807
96,0.7438271641731262,1808
96,0.7757957577705383,1809
96,0.8859805464744568,1810
96,0.925026535987854,1811
96,0.6592063903808594,1812
96,0.4411987066268921,1813
96,0.4363747239112854,1814
96,0.42729973793029785,1815
96,0.46087267994880676,1816
96,0.5359565615653992,1817
96,0.5934880971908569,1818
97,0.5793820023536682,1819
97,1.025057077407837,1820
97,0.9330623745918274,1821
97,0.8105195760726929,1822
97,0.7360075116157532,1823
97,0.6319765448570251,1824
97,0.6442139744758606,1825
97,0.7684552073478699,1826
97,0.7858524918556213,1827
97,0.7293153405189514,1828
97,0.5567113161087036,1829
97,0.4187737703323364,1830
97,0.3622567057609558,1831
97,0.36385631561279297,1832
98,0.3644939959049225,1833
98,0.9429277777671814,1834
98,0.8542162179946899,1835
98,0.8513234257698059,1836
98,0.9243339896202087,1837
98,0.8735857009887695,1838
98,0.7423045635223389,1839
98,0.5472604036331177,1840
98,0.363149493932724,1841
99,0.3805210590362549,1842
99,0.9704949855804443,1843
99,0.9344766139984131,1844
99,0.9213538765907288,1845
99,0.8404781818389893,1846
99,0.6747574806213379,1847
99,0.5156305432319641,1848
99,0.4995385706424713,1849
99,0.46448466181755066,1850
99,0.36386725306510925,1851
99,0.19444714486598969,1852
99,0.07341181486845016,1853
100,0.037455637007951736,1854
100,1.038577675819397,1855
100,1.056678056716919,1856
100,0.962462842464447,1857
100,0.9370750784873962,1858
100,0.9741310477256775,1859
100,0.9840507507324219,1860
100,0.9769585728645325,1861
100,0.9251000881195068,1862
100,0.740317702293396,1863
100,0.46173909306526184,1864
100,0.20202334225177765,1865
100,-0.01372771617025137,1866
100,-0.1367945522069931,1867
100,-0.3615094721317291,1868
100,-0.43646523356437683,1869
100,-0.4831104874610901,1870
101,-0.5392226576805115,1871
101,0.9305721521377563,1872
101,0.9293232560157776,1873
101,0.9163600206375122,1874
101,0.8615019917488098,1875
101,0.8008350729942322,1876
101,0.7593167424201965,1877
101,0.7550978660583496,1878
101,0.7167137265205383,1879
101,0.7509076595306396,1880
101,0.8375686407089233,1881
101,0.9659644365310669,1882
102,1.0695525407791138,1883
102,0.9889674782752991,1884
102,0.9017371535301208,1885
102,0.9152679443359375,1886
102,0.8917974233627319,1887
102,0.8330122828483582,1888
102,0.9961696267127991,1889
102,1.0007988214492798,1890
102,0.8917356133460999,1891
102,0.7866834998130798,1892
102,0.7824805974960327,1893
102,0.9393048882484436,1894
102,0.9798920750617981,1895
102,0.9956849813461304,1896
102,0.9972096681594849,1897
102,0.9857457876205444,1898
102,1.1179211139678955,1899
102,1.186330795288086,1900
102,1.1147258281707764,1901
103,1.0659199953079224,1902
103,0.8915624618530273,1903
103,0.7642641663551331,1904
103,0.8354501724243164,1905
103,0.8728504180908203,1906
103,0.7782118916511536,1907
103,0.8080552816390991,1908
103,0.8215384483337402,1909
103,0.83536297082901,1910
103,0.9271613955497742,1911
103,0.9098365902900696,1912
104,0.8384100198745728,1913
104,0.9590463042259216,1914
104,0.9153687357902527,1915
104,0.7583694458007812,1916
104,0.577384889125824,1917
104,0.38595443964004517,1918
104,0.2115027755498886,1919
104,0.028825175017118454,1920
105,-0.05935616046190262,1921
105,1.0059642791748047,1922
105,0.9744516015052795,1923
105,1.0022120475769043,1924
105,0.876442015171051,1925
105,0.6428747177124023,1926
105,0.5857535600662231,1927
105,0.6937882900238037,1928
105,0.8346590399742126,1929
105,0.9003258347511292,1930
105,0.8290563821792603,1931
105,0.8017855882644653,1932
105,0.8114666938781738,1933
105,0.7865277528762817,1934
105,0.8826525211334229,1935
105,1.010090947151184,1936
105,1.1145429611206055,1937
105,1.169353723526001,1938
105,1.197106122970581,1939
105,1.156638264656067,1940
105,1.1546472311019897,1941
105,1.2947969436645508,1942
105,1.3556350469589233,1943
105,1.4692816734313965,1944
105,1.5762791633605957,1945
105,1.4480218887329102,1946
105,1.241979956626892,1947
105,1.2082862854003906,1948
105,1.322418212890625,1949
105,1.4389461278915405,1950
105,1.558370590209961,1951
105,1.6247131824493408,1952
105,1.6448701620101929,1953
105,1.7501928806304932,1954
105,1.7787482738494873,1955
105,1.751876711845398,1956
105,1.8395897150039673,1957
105,1.7752238512039185,1958
105,1.7095906734466553,1959
105,1.692266821861267,1960
105,1.6304638385772705,1961
105,1.5606539249420166,1962
105,1.5330986976623535,1963
105,1.4711055755615234,1964
105,1.3714717626571655,1965
106,1.3863991498947144,1966
106,0.8865208625793457,1967
106,0.6983482837677002,1968
106,0.6394231915473938,1969
