EpisodeID,ActionMeasure
1,0.9413670301437378
2,2.0
3,1.7812551856040955
4,2.0
5,2.0
6,0.0
7,1.4445659518241882
8,1.8896527886390686
9,2.0
10,2.0
11,0.9257677793502808
12,1.7827694416046143
13,1.2129716277122498
14,1.7817639708518982
15,2.0
16,2.0
17,2.0
18,0.30174148082733154
19,2.0
20,0.0
21,2.0
22,1.5303064584732056
23,2.0
24,0.40779566764831543
25,2.0
26,1.5850410461425781
27,1.2322193384170532
28,0.0
29,0.9001641273498535
30,2.0
31,0.681127667427063
32,2.0
33,1.6234378814697266
34,2.0
35,2.0
36,2.0
37,0.6420499086380005
38,0.4855313301086426
39,2.0
40,0.024181842803955078
41,0.29290688037872314
42,2.0
43,0.0
44,2.0
45,0.8565213680267334
46,2.0
47,1.423824429512024
48,2.0
49,2.0
50,1.3793506622314453
51,1.609183669090271
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,1.9216663837432861
62,2.0
63,2.0
64,2.0
65,2.0
66,1.6880367398262024
67,0.35109198093414307
68,2.0
69,1.8024380207061768
70,2.0
71,1.8111201524734497
72,2.0
73,0.20079511404037476
74,2.0
75,2.0
76,0.0
77,0.8014509677886963
78,1.394174337387085
79,2.0
80,0.3044952154159546
81,1.4660421311855316
82,1.9418928027153015
83,2.0
84,0.0
85,2.0
86,2.0
87,2.0
88,2.0
89,1.155121386051178
90,2.0
91,2.0
92,2.0
93,2.0
94,1.86183762550354
95,2.0
96,2.0
97,1.088019847869873
98,1.404248058795929
99,0.6569056510925293
100,1.9473479390144348
